20,           13) กิจกรรมการบริหารและการบริการสนับสนุน,589.71,548.08,533.03,601.47,560.00,586.76,579.44,547.50,495.29,393.94,388.78
21,           14) การบริหารราชการ การป้องกันประเทศ และการประกันสังคมภาคบังคับ,1835.89,1673.00,1643.34,1611.43,1626.48,1588.80,1579.41,1611.15,1589.36,1639.95,1713.62
22,           15) การศึกษา,1113.72,1132.71,1210.85,1157.11,1164.35,1185.08,1184.82,1181.91,1152.72,1180.62,1201.15
23,           16) กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,821.73,763.04,689.66,643.27,658.72,719.55,706.29,681.62,683.68,645.30,660.20
24,           17) ศิลปะ ความบันเทิง และนันทนาการ,283.63,266.91,274.00,266.88,248.23,242.67,252.00,267.06,255.91,237.56,227.93
25,           18) กิจกรรมบริการด้านอื่น ๆ,998.05,915.34,887.95,932.09,881.48,842.36,829.29,770.31,736.09,630.43,677.60
26,           19) กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล กิจกรรมการผลิตสินค้าและบริการที่ทำขึ้นเอง เพื่อใช้ในครัวเรือน,229.36,230.52,230.80,218.80,210.96,218.36,232.11,232.62,216.30,203.60,253.02
27,           20) กิจกรรมขององค์การระหว่างประเทศ,3.36,3.04,2.26,3.72,3.34,3.52,3.11,3.20,4.23,2.96,4.05
28,           21) ไม่ทราบ,44.17,52.18,54.39,75.58,72.86,86.27,78.28,63.17,61.40,49.82,31.18
29,    2.2.ผู้ว่างงาน,527.02,748.27,651.10,373.40,404.28,450.67,377.46,340.56,322.68,283.52,259.09
30,    (อัตราการว่างงาน),1.32,1.93,1.69,0.98,1.05,1.18,0.99,0.88,0.84,0.72,0.66
31,           ไม่เคยทำงานมาก่อน,253.65,269.20,295.05,170.61,189.86,231.25,176.43,160.21,149.68,132.06,105.33
32,    2.3.กำลังแรงงานที่รอฤดูกาล,155.24,200.06,213.12,191.21,164.76,190.90,196.48,191.50,176.13,193.38,208.79
33,    (สัดส่วนกำลังแรงงานที่รอฤดูกาลต่อกำลังแรงงาน),0.39,0.52,0.56,0.50,0.43,0.50,0.51,0.50,0.46,0.49,0.53
34,3.ไม่อยู่ในกำลังแรงงานอายุ 15 ปีขึ้นไป,18720.41,18392.19,18302.17,18397.22,17845.42,17857.46,17343.55,16690.23,16266.85,15640.37,15105.30
35,           1) ทำงานบ้าน,5193.51,5083.50,5131.91,5376.22,5337.94,5332.00,5200.13,4943.24,4852.29,4715.50,4556.90
36,           2) เรียนหนังสือ,4671.12,4400.44,4319.36,4346.92,4283.86,4347.07,4328.11,4416.47,4378.36,4292.57,4243.74
37,           3) ยังเด็ก ชรา/ไม่สามารถทำงานได้,6873.90,6989.84,6875.92,6800.12,6468.37,6324.19,5981.74,5599.79,5389.21,5021.73,4713.38
38,           4) อื่น ๆ,1981.88,1918.41,1974.98,1873.95,1755.26,1854.21,1833.57,1730.73,1647.00,1610.57,1591.29
